collection,candidate_name,status,portrait_page_url,direct_image_url,source_type,source_title,verification_note
House,Barbara Kahl,verified,https://ballotpedia.org/Barbara_Kahl,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/1024x1024_20260427_050324_16255.png,licensed_editorial,Ballotpedia - Barbara Kahl,Portrait page confirmed; direct image URL successfully loads and returns valid image content.
House,Patti Adair,verified,https://ballotpedia.org/Patti_Adair,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Patti_Adair_20260513_205324_1.jpg,licensed_editorial,Ballotpedia - Patti Adair,Portrait page confirmed; direct image URL successfully loads and returns valid image content.
House,Jessica Arriaga,verified,https://ballotpedia.org/Jessica_Arriaga,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Jessica_Arriaga_20260321_022803.png,licensed_editorial,Ballotpedia - Jessica Arriaga,Portrait page confirmed; direct image URL successfully loads and returns valid image content.
House,Aurora Stuski,not_found,https://ballotpedia.org/Aurora_Stuski,,licensed_editorial,House Candidate - Aurora Stuski,Official portrait page and direct image URL are missing.
House,Nick Manganaro,verified,https://ballotpedia.org/Nick_Manganaro,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Nick_Manganaro.png,licensed_editorial,Ballotpedia - Nick Manganaro,Portrait page confirmed; direct image URL successfully loads and returns valid image content.
House,Marty Young,not_found,https://ballotpedia.org/Marty_Young,,licensed_editorial,House Candidate - Marty Young,Official portrait page and direct image URL are missing.
House,James Hayes,not_found,https://ballotpedia.org/James_Hayes_(Pennsylvania),,licensed_editorial,House Candidate - James Hayes,Official portrait page and direct image URL are missing.
House,Tony Guy,not_found,https://ballotpedia.org/Tony_Guy,,licensed_editorial,House Candidate - Tony Guy,Official portrait page and direct image URL are missing.
House,Vincent Dixie,not_found,https://wapp.capitol.tn.gov/apps/LegislatorInfo/Member?district=H54&ga=114,,government_elected_office,House Candidate - Vincent Dixie,Official portrait page and direct image URL are missing.
House,Robert Murray,not_found,,,official_campaign,House Candidate - Robert Murray,Official portrait page and direct image URL are missing.
House,Philip Harding,not_found,https://ballotpedia.org/Philip_Harding,,licensed_editorial,House Candidate - Philip Harding,Official portrait page and direct image URL are missing.
House,Julie Perry,not_found,https://ballotpedia.org/Julie_Perry,,licensed_editorial,House Candidate - Julie Perry,Official portrait page and direct image URL are missing.
House,Arthur Purves,not_found,https://www.votepurves.org/,https://www.votepurves.org/images/logo.png,official_campaign,House Candidate - Arthur Purves,Source page or direct image URL returned HTTP 404 Not Found.
House,Bryce Nickel,not_found,,,official_campaign,House Candidate - Bryce Nickel,Official portrait page and direct image URL are missing.
House,Devin Hermanson,not_found,,,official_campaign,House Candidate - Devin Hermanson,Official portrait page and direct image URL are missing.
House,Leon Lawson,not_found,,,official_campaign,House Candidate - Leon Lawson,Official portrait page and direct image URL are missing.
House,Kshama Sawant,not_found,https://ballotpedia.org/Kshama_Sawant,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Kshama_Sawant_%28cropped%29.jpg/800px-Kshama_Sawant_%28cropped%29.jpg,licensed_editorial,House Candidate - Kshama Sawant,Direct image URL returned HTTP error or forbidden access.
House,Kurtis Engle,not_found,,,official_campaign,House Candidate - Kurtis Engle,Official portrait page and direct image URL are missing.
House,Scott Fitzgerald,not_found,http://fitzgerald.house.gov/about,https://fitzgerald.house.gov/sites/evo-subsites/fitzgerald.house.gov/files/evo-image-placeholder.png,government_elected_office,House Candidate - Scott Fitzgerald,Source page or direct image URL returned HTTP 404 Not Found.
Governor,Cindy Holscher,not_found,https://ballotpedia.org/Cindy_Holscher,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Cindy_Holscher_official_portrait.jpg/800px-Cindy_Holscher_official_portrait.jpg,licensed_editorial,Governor Candidate - Cindy Holscher,Direct image URL returned HTTP error or forbidden access.
Governor,Jermaine Johnson,not_found,https://www.scstatehouse.gov/member.php?code=0943181705,https://www.scstatehouse.gov/member_photos/0943181705.jpg,official_legislative,Governor Candidate - Jermaine Johnson,Source page or direct image URL returned HTTP 404 Not Found.
Governor,Kenneth Casner,not_found,https://ballotpedia.org/Ken_Casner,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Ken_Casner.jpg/800px-Ken_Casner.jpg,licensed_editorial,Governor Candidate - Kenneth Casner,Direct image URL returned HTTP error or forbidden access.
Governor,Ryan Fazio,not_found,https://ryanfazio.com/,https://ryanfazio.com/favicon.ico,official_campaign,Governor Candidate - Ryan Fazio,Source page or direct image URL returned HTTP 404 Not Found.
Governor,Ty Masterson,not_found,https://www.kslegislature.gov/b2025_26/legislators/sen_masterson_ty_1/,https://www.kslegislature.gov/b2025_26/images/legislators/sen_masterson_ty_1.jpg,official_legislative,Governor Candidate - Ty Masterson,Source page or direct image URL returned HTTP 404 Not Found.
Governor,Alan Wilson,not_found,https://www.scag.gov/about-the-office/attorney-general-alan-wilson/,https://www.scag.gov/wp-content/uploads/2019/12/Alan-Wilson-Official-Photo.jpg,government_elected_office,Governor Candidate - Alan Wilson,Source page or direct image URL returned HTTP 404 Not Found.
Governor,David Varnam,not_found,,,official_campaign,Governor Candidate - David Varnam,Official portrait page and direct image URL are missing.
Governor,Eric Barlow,not_found,https://wyoleg.gov/Legislators/2023/Senate/Barlow,https://wyoleg.gov/Legislators/2023/Senate/Barlow.jpg,official_legislative,Governor Candidate - Eric Barlow,Source page or direct image URL returned HTTP 404 Not Found.
Black Representation,Chris Jones,not_found,,,official_campaign,Black Representation Candidate - Chris Jones,Official portrait page and direct image URL are missing.
Black Representation,Robert White,not_found,,,official_campaign,Black Representation Candidate - Robert White,Official portrait page and direct image URL are missing.
Black Representation,Amanda Hollowell,not_found,,,official_campaign,Black Representation Candidate - Amanda Hollowell,Official portrait page and direct image URL are missing.
