collection,candidate_name,status,portrait_page_url,direct_image_url,source_type,source_title,verification_note
House,David Pan,verified,https://www.davidpan4congress.com/,,official_campaign,David Pan for Congress,Official campaign website featuring candidate portrait and bio.
House,Jenny Rae Le Roux,verified,https://www.jennyraeca.com/,,official_campaign,Jenny Rae Le Roux for Congress,Official campaign website featuring candidate portrait and platform.
House,Armen Kurdian,verified,https://www.kurdianforcongress.com/,,official_campaign,Armen Kurdian for Congress,Official campaign website featuring candidate portrait and bio.
House,Ricardo Cabrera,verified,https://www.cabreraforcongress2026.com/,,official_campaign,Cabrera for Congress 2026,Official campaign website featuring candidate portrait and bio.
House,Jeff Belle,verified,https://www.belleforcongress.com/,,official_campaign,Jeff Belle for Congress,Official campaign website featuring candidate portrait and bio.
House,Christy Peterson,verified,https://christyforamerica.us/,,official_campaign,ChristyforAmerica - US Congressional District 1,Official campaign website featuring candidate portrait and platform.
House,Kelley Dennison,verified,https://kelleyforco.com/,,official_campaign,Kelley Dennison for Congress,Official campaign website featuring candidate portrait and bio.
House,Jason Clark,verified,https://ballotpedia.org/Jason_Ray_Clark_(Colorado),,organization_profile,Ballotpedia - Jason Ray Clark,Verified candidate profile on Ballotpedia with campaign photo and bio.
House,Tim Bennett,verified,https://timbennettforcongress.com/,,official_campaign,Tim Bennett for Congress,Official campaign website featuring candidate portrait and bio.
House,Jillian Gilchrest,verified,https://voteforjillian.com/,,official_campaign,Jillian Gilchrest for Congress,Official campaign website featuring candidate portrait and bio.
House,Michele Botelho,verified,https://www.michelebotelhoforcongress.com/,,official_campaign,Michele Botelho for Congress,Official campaign website featuring candidate portrait and bio.
House,Tom Wells,verified,https://ballotpedia.org/Tom_Wells,,organization_profile,Ballotpedia - Tom Wells,Verified candidate profile on Ballotpedia with campaign photo and bio.
House,LaShonda Holloway,verified,https://www.hollowayforcongress.com/,,official_campaign,Holloway for Congress,Official campaign website featuring candidate portrait and bio.
House,John Rutherford,verified,http://rutherford.house.gov/about/biography,,government_elected_office,Congressman John Rutherford Official Biography,Official congressional website featuring official portrait and bio.
House,Jennifer Jenkins,verified,https://jenkinsforfl.com/,,official_campaign,Jennifer Jenkins for U.S. Congress,Official campaign website featuring candidate portrait and bio.
House,Darren McAuley,verified,https://darrenforflorida.com/,,official_campaign,Darren McAuley for Tampa Bay,Official campaign website featuring candidate portrait and bio.
House,John Liccione,verified,https://ballotpedia.org/John_Liccione,,organization_profile,Ballotpedia - John Liccione,Verified candidate profile on Ballotpedia with campaign photo and bio.
House,Christopher Irizarry,verified,https://ballotpedia.org/Christopher_Irizarry,,organization_profile,Ballotpedia - Christopher Irizarry,Verified candidate profile on Ballotpedia with campaign photo and bio.
House,Matthew Montavon,verified,https://www.montavonforcongress.com/,,official_campaign,Montavon For Congress,Official campaign website featuring candidate portrait and bio.
House,Curtis Gibson,verified,https://votecurtisgibson.com/,,official_campaign,Curtis Gibson for Florida,Official campaign website featuring candidate portrait and bio.
House,James Martin,verified,https://www.jamesmartinforflorida.com/,,official_campaign,James Martin For Florida,Official campaign website featuring candidate portrait and bio.
House,George Moraitis,verified,https://george4congress.com/,,official_campaign,George Moraitis for Congress,Official campaign website featuring candidate portrait and bio.
House,Carlos Gimenez,verified,https://gimenez.house.gov/,,government_elected_office,Congressman Carlos Gimenez Official Site,Official congressional website featuring official portrait and bio.
House,Jim Kingston,verified,https://ballotpedia.org/James_Kingston_(Georgia),,organization_profile,Ballotpedia - James Kingston,Verified candidate profile on Ballotpedia with campaign photo and bio.
House,Matt Day,verified,https://www.votemattday.com/,,official_campaign,Matt Day for Congress,Official campaign website featuring candidate portrait and bio.
House,Jim Duffie,verified,https://ballotpedia.org/James_Duffie,,organization_profile,Ballotpedia - Jim Duffie,Verified candidate profile on Ballotpedia with campaign photo and bio.
House,J. Salvesen,verified,https://ballotpedia.org/John_Salvesen,,organization_profile,Ballotpedia - John Salvesen,Verified candidate profile on Ballotpedia with campaign photo and bio.
House,Justin Pinker,verified,https://justinpinkerforcongress.com/,,official_campaign,Justin Pinker for Congress,Official campaign website featuring candidate portrait and bio.
House,John Cowan,verified,https://ballotpedia.org/John_Cowan,,organization_profile,Ballotpedia - John Cowan,Verified candidate profile on Ballotpedia with campaign photo and bio.
House,Rick Allen,verified,https://allen.house.gov/,,government_elected_office,U.S. Representative Rick W. Allen Official Website,Official congressional website featuring official portrait and bio.
