collection,candidate_name,status,portrait_page_url,direct_image_url,source_type,source_title,verification_note
House,John Olszewski,not_found,,,,,"No official portrait page or direct image URL found on official government, legislative, or reputable editorial sources."
House,Hillary Scholten,verified,https://en.wikipedia.org/wiki/Hillary_Scholten,https://upload.wikimedia.org/wikipedia/commons/a/a7/Rep._Hillary_Scholten_-_118th_Congress_%281%29.jpg,government_elected_office,Wikipedia / Wikimedia Commons - Official 118th Congress Portrait,Verified via official Wikimedia Commons congressional portrait with 200 OK status.
House,Callie Barr,not_found,,,,,"No official portrait page or direct image URL found on official government, legislative, or reputable editorial sources."
House,Christian Vukasovich,not_found,,,,,"No official portrait page or direct image URL found on official government, legislative, or reputable editorial sources."
House,William Lawrence,not_found,,,,,"No official portrait page or direct image URL found on official government, legislative, or reputable editorial sources."
House,Michael Chiaradio,not_found,,,,,"No official portrait page or direct image URL found on official government, legislative, or reputable editorial sources."
House,Jeffrey Hulum,not_found,,,,,"No official portrait page or direct image URL found on official government, legislative, or reputable editorial sources."
House,Wesley Bell,verified,https://en.wikipedia.org/wiki/Wesley_Bell,https://upload.wikimedia.org/wikipedia/commons/3/34/Wesley_Bell%2C_official_portrait_%28119th_Congress%29.jpg,government_elected_office,Wikipedia / Wikimedia Commons - Official 119th Congress Portrait,Verified via official Wikimedia Commons congressional portrait with 200 OK status.
House,Emanuel Cleaver,verified,https://en.wikipedia.org/wiki/Emanuel_Cleaver,https://upload.wikimedia.org/wikipedia/commons/7/71/Emanuel_Cleaver_official_photo.jpg,government_elected_office,Wikipedia / Wikimedia Commons - Official Congressional Portrait,Verified via official Wikimedia Commons congressional portrait with 200 OK status.
House,Chris Backemeyer,not_found,,,,,"No official portrait page or direct image URL found on official government, legislative, or reputable editorial sources."
House,Analilia Mejia,verified,https://en.wikipedia.org/wiki/Analilia_Mejia,https://upload.wikimedia.org/wikipedia/commons/7/78/Analilia_Mejia%2C_official_portrait_%28119th_Congress%29.jpg,government_elected_office,Wikipedia / Wikimedia Commons - Official 119th Congress Portrait,Verified via official Wikimedia Commons congressional portrait with 200 OK status.
House,Claire Valdez,verified,https://en.wikipedia.org/wiki/Claire_Valdez,https://upload.wikimedia.org/wikipedia/commons/a/a0/Queens_Bus_Network_Redesign_Claire_Valdez_%28cropped%29.jpg,licensed_editorial,Wikipedia / Wikimedia Commons - Editorial Portrait,Verified via Wikimedia Commons editorial portrait with verified 200 OK status.
House,Brad Lander,verified,https://en.wikipedia.org/wiki/Brad_Lander,https://upload.wikimedia.org/wikipedia/commons/2/26/Brad_Lander.jpg,government_elected_office,Wikipedia / Wikimedia Commons - Official Portrait,Verified via official Wikimedia Commons portrait with 200 OK status.
House,Allison Ziogas,not_found,,,,,"No official portrait page or direct image URL found on official government, legislative, or reputable editorial sources."
House,Darializa Avila Chevalier,verified,https://en.wikipedia.org/wiki/Darializa_Avila_Chevalier,https://upload.wikimedia.org/wikipedia/commons/9/93/Darializa_Avila_Chevalier_during_interview_on_Secretos_CEO.jpg,licensed_editorial,Wikipedia / Wikimedia Commons - Editorial Portrait,Verified via Wikimedia Commons editorial portrait with verified 200 OK status.
House,Diana Kastenbaum,not_found,,,,,Campaign website unavailable (SSL error / fetch failed).
House,Jerrad Christian,not_found,,,,,Candidate profile source returned HTTP 429 rate limit or unavailable.
House,Nicole Gronli,not_found,,,,,Campaign website direct image returned HTTP 404.
House,Robert Wittman,verified,https://www.congress.gov/member/robert-wittman/W000804,https://bioguide.congress.gov/bioguide/photo/W/W000804.jpg,government_elected_office,Congress.gov Bioguide - Official Congressional Portrait,Verified via official Congress.gov bioguide image URL with 200 OK status.
House,Carmela Conroy,verified,https://en.wikipedia.org/wiki/Carmela_Conroy,https://upload.wikimedia.org/wikipedia/commons/3/31/Carmela_Conroy_State_Department_Portrait_%28cropped%29.jpg,government_elected_office,Wikipedia / Wikimedia Commons - State Department Official Portrait,Verified via official Wikimedia Commons State Department portrait with 200 OK status.
House,Ace Parsi,not_found,,,,,Campaign website direct image returned HTTP 404.
House,Rebecca Cooke,not_found,,,,,Campaign website direct image returned HTTP 404.
House,Andrew Beck,not_found,,,,,Prior source returned HTTP 403 or unavailable.
House,Abraham Hamadeh,verified,https://en.wikipedia.org/wiki/Abraham_Hamadeh,https://upload.wikimedia.org/wikipedia/commons/a/a4/Abraham_Hamadeh_119th_congress.jpg,government_elected_office,Wikipedia / Wikimedia Commons - Official 119th Congress Portrait,Verified via official Wikimedia Commons congressional portrait with 200 OK status.
House,Paul Gosar,verified,https://en.wikipedia.org/wiki/Paul_Gosar,https://upload.wikimedia.org/wikipedia/commons/d/db/Paul_Gosar_118th_Congress_portrait.jpg,government_elected_office,Wikipedia / Wikimedia Commons - Official 118th Congress Portrait,Verified via official Wikimedia Commons congressional portrait with 200 OK status.
House,Eric Jones,not_found,,,,,"No official portrait page or direct image URL found on official government, legislative, or reputable editorial sources."
House,Doris Matsui,verified,https://en.wikipedia.org/wiki/Doris_Matsui,https://upload.wikimedia.org/wikipedia/commons/d/db/Doris_Matsui_portrait_%28118th_Congress%29.jpg,government_elected_office,Wikipedia / Wikimedia Commons - Official 118th Congress Portrait,Verified via official Wikimedia Commons congressional portrait with 200 OK status.
House,Shane Lewis,not_found,,,,,"No official portrait page or direct image URL found on official government, legislative, or reputable editorial sources."
House,Bob Smith,not_found,,,,,"No official portrait page or direct image URL found on official government, legislative, or reputable editorial sources."
House,Ricardo Cabrera,not_found,,,,,Campaign website missing direct image URL.
