collection,candidate_name,status,portrait_page_url,direct_image_url,source_type,source_title,verification_note
House,George Marsh,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,Joseph Chou,verified,https://ballotpedia.org/Joseph_Chou,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Joseph_Chou_20240809_072826.jpg,licensed_editorial,Joseph Chou - Ballotpedia,Verified candidate portrait from Ballotpedia infobox.
House,Melvin Rivera,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,Lewis Mizrahi,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,Joel Azumah,verified,https://ballotpedia.org/Joel_Anabilah-Azumah,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/May242020355AM_80182230_CampaignHeadshot.jpg,licensed_editorial,Joel Anabilah-Azumah - Ballotpedia,Verified candidate portrait from Ballotpedia infobox.
House,Jennifer Moore,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,Caroline Shinkle,verified,https://ballotpedia.org/Caroline_Shinkle,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Caroline_Shinkle_20260214_032757.jpg,licensed_editorial,Caroline Shinkle - Ballotpedia,Verified candidate portrait from Ballotpedia infobox.
House,Jomo Williams,verified,https://ballotpedia.org/Jomo_Williams,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/JomoWilliams.jpeg,licensed_editorial,Jomo Williams - Ballotpedia,Verified candidate portrait from Ballotpedia infobox.
House,Diamant Hysenaj,verified,https://ballotpedia.org/Diamant_Hysenaj,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/DiamantHysenaj.JPG,licensed_editorial,Diamant Hysenaj - Ballotpedia,Verified candidate portrait from Ballotpedia infobox.
House,Stylo Sapaskis,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,Joseph Cinquemani,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,Jackie Auringer,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,Peter Oberacker,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,Ralph Ambrosio,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,Kailee Buller,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,Virginia McIntyre,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,Dennis Hannon,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,Eugene Douglass,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,Mahesh Ganorkar,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,Jack Codiga,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,Eric Conroy,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,Cleophus Dulaney,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,Mike Kirchner,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,Barbara Kahl,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,Patti Adair,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,Jessica Arriaga,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,Aurora Stuski,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,Nick Manganaro,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,Marty Young,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
House,James Hayes,not_found,,,,,No verified official or licensed portrait image URL was found or loaded successfully.
